APP6A;MIL2525C;CoT
SFG-USSL--;SFG-USSL--;a-f-g-u-s-s-l
SFG-USSLT-;SFG-USSLT-;a-f-g-u-s-s-l-t
SFG-USSLC-;SFG-USSLC-;a-f-g-u-s-s-l-c
SFG-USSW--;SFG-USSW--;a-f-g-u-s-s-w
SFG-USSWT-;SFG-USSWT-;a-f-g-u-s-s-w-t
SFG-USSWC-;SFG-USSWC-;a-f-g-u-s-s-w-c
SFG-USSWP-;SFG-USSWP-;a-f-g-u-s-s-w-p
SFG-USSWPT;SFG-USSWPT;a-f-g-u-s-s-w-p-t
SFG-USSWPC;SFG-USSWPC;a-f-g-u-s-s-w-p-c
SFG-UST---;SFG-UST---;a-f-g-u-s-t
SFG-USTT--;SFG-USTT--;a-f-g-u-s-t-t
SFG-USTC--;SFG-USTC--;a-f-g-u-s-t-c
SFG-USTM--;SFG-USTM--;a-f-g-u-s-t-m
SFG-USTMT-;SFG-USTMT-;a-f-g-u-s-t-m-t
SFG-USTMC-;SFG-USTMC-;a-f-g-u-s-t-m-c
SFG-USTR--;SFG-USTR--;a-f-g-u-s-t-r
SFG-USTRT-;SFG-USTRT-;a-f-g-u-s-t-r-t
SFG-USTRC-;SFG-USTRC-;a-f-g-u-s-t-r-c
SFG-USTS--;SFG-USTS--;a-f-g-u-s-t-s
SFG-USTST-;SFG-USTST-;a-f-g-u-s-t-s-t
SFG-USTSC-;SFG-USTSC-;a-f-g-u-s-t-s-c
SFG-USTA--;SFG-USTA--;a-f-g-u-s-t-a
SFG-USTAT-;SFG-USTAT-;a-f-g-u-s-t-a-t
SFG-USTAC-;SFG-USTAC-;a-f-g-u-s-t-a-c
SFG-USTI--;SFG-USTI--;a-f-g-u-s-t-i
SFG-USTIT-;SFG-USTIT-;a-f-g-u-s-t-i-t
SFG-USTIC-;SFG-USTIC-;a-f-g-u-s-t-i-c
SFG-USX---;SFG-USX---;a-f-g-u-s-x
SFG-USXT--;SFG-USXT--;a-f-g-u-s-x-t
SFG-USXC--;SFG-USXC--;a-f-g-u-s-x-c
SFG-USXH--;SFG-USXH--;a-f-g-u-s-x-h
SFG-USXHT-;SFG-USXHT-;a-f-g-u-s-x-h-t
SFG-USXHC-;SFG-USXHC-;a-f-g-u-s-x-h-c
SFG-USXR--;SFG-USXR--;a-f-g-u-s-x-r
SFG-USXRT-;SFG-USXRT-;a-f-g-u-s-x-r-t
SFG-USXRC-;SFG-USXRC-;a-f-g-u-s-x-r-c
SFG-USXO--;SFG-USXO--;a-f-g-u-s-x-o
SFG-USXOT-;SFG-USXOT-;a-f-g-u-s-x-o-t
SFG-USXOC-;SFG-USXOC-;a-f-g-u-s-x-o-c
SFG-USXOM-;SFG-USXOM-;a-f-g-u-s-x-o-m
SFG-USXOMT;SFG-USXOMT;a-f-g-u-s-x-o-m-t
SFG-USXOMC;SFG-USXOMC;a-f-g-u-s-x-o-m-c
SFG-USXE--;SFG-USXE--;a-f-g-u-s-x-e
SFG-USXET-;SFG-USXET-;a-f-g-u-s-x-e-t
SFG-USXEC-;SFG-USXEC-;a-f-g-u-s-x-e-c
SFG-UH----;SFG-UH----;a-f-g-u-h
SFG-E-----;SFG-E-----;a-f-g-e
SFG-EWM---;SFG-EWM---;a-f-g-e-w-m
SFG-EWMA--;SFG-EWMA--;a-f-g-e-w-m-a
SFG-EWMAS-;SFG-EWMAS-;a-f-g-e-w-m-a-s
SFG-EWMAI-;SFG-EWMAI-;a-f-g-e-w-m-a-i
SFG-EWMAL-;SFG-EWMAL-;a-f-g-e-w-m-a-l
SFG-EWMAT-;SFG-EWMAT-;a-f-g-e-w-m-a-t
SFG-EWMS--;SFG-EWMS--;a-f-g-e-w-m-s
SFG-EWMSS-;SFG-EWMSS-;a-f-g-e-w-m-s-s
SFG-EWMSI-;SFG-EWMSI-;a-f-g-e-w-m-s-i
SFG-EWMSL-;SFG-EWMSL-;a-f-g-e-w-m-s-l
SFG-EWMT--;SFG-EWMT--;a-f-g-e-w-m-t
SFG-EWMTL-;SFG-EWMTL-;a-f-g-e-w-m-t-l
SFG-EWMTM-;SFG-EWMTM-;a-f-g-e-w-m-t-m
SFG-EWMTH-;SFG-EWMTH-;a-f-g-e-w-m-t-h
SFG-EWS---;SFG-EWS---;a-f-g-e-w-s
SFG-EWSL--;SFG-EWSL--;a-f-g-e-w-s-l
SFG-EWSM--;SFG-EWSM--;a-f-g-e-w-s-m
SFG-EWSH--;SFG-EWSH--;a-f-g-e-w-s-h
SFG-EWX---;SFG-EWX---;a-f-g-e-w-x
SFG-EWXL--;SFG-EWXL--;a-f-g-e-w-x-l
SFG-EWXM--;SFG-EWXM--;a-f-g-e-w-x-m
SFG-EWXH--;SFG-EWXH--;a-f-g-e-w-x-h
SFG-EWT---;SFG-EWT---;a-f-g-e-w-t
SFG-EWTL--;SFG-EWTL--;a-f-g-e-w-t-l
SFG-EWTM--;SFG-EWTM--;a-f-g-e-w-t-m
SFG-EWTH--;SFG-EWTH--;a-f-g-e-w-t-h
SFG-EWR---;SFG-EWR---;a-f-g-e-w-r
SFG-EWRR--;SFG-EWRR--;a-f-g-e-w-r-r
SFG-EWRL--;SFG-EWRL--;a-f-g-e-w-r-l
SFG-EWRH--;SFG-EWRH--;a-f-g-e-w-r-h
SFG-EWZ---;SFG-EWZ---;a-f-g-e-w-z
SFG-EWZL--;SFG-EWZL--;a-f-g-e-w-z-l
SFG-EWZM--;SFG-EWZM--;a-f-g-e-w-z-m
SFG-EWZH--;SFG-EWZH--;a-f-g-e-w-z-h
SFG-EWO---;SFG-EWO---;a-f-g-e-w-o
SFG-EWOL--;SFG-EWOL--;a-f-g-e-w-o-l
SFG-EWOM--;SFG-EWOM--;a-f-g-e-w-o-m
SFG-EWOH--;SFG-EWOH--;a-f-g-e-w-o-h
SFG-EWH---;SFG-EWH---;a-f-g-e-w-h
SFG-EWHL--;SFG-EWHL--;a-f-g-e-w-h-l
SFG-EWHLS-;SFG-EWHLS-;a-f-g-e-w-h-l-s
SFG-EWHM--;SFG-EWHM--;a-f-g-e-w-h-m
SFG-EWHMS-;SFG-EWHMS-;a-f-g-e-w-h-m-s
SFG-EWHH--;SFG-EWHH--;a-f-g-e-w-h-h
SFG-EWHHS-;SFG-EWHHS-;a-f-g-e-w-h-h-s
SFG-EWG---;SFG-EWG---;a-f-g-e-w-g
SFG-EWGL--;SFG-EWGL--;a-f-g-e-w-g-l
SFG-EWGM--;SFG-EWGM--;a-f-g-e-w-g-m
SFG-EWGH--;SFG-EWGH--;a-f-g-e-w-g-h
SFG-EWGR--;SFG-EWGR--;a-f-g-e-w-g-r
SFG-EWD---;SFG-EWD---;a-f-g-e-w-d
SFG-EWDL--;SFG-EWDL--;a-f-g-e-w-d-l
SFG-EWDLS-;SFG-EWDLS-;a-f-g-e-w-d-l-s
SFG-EWDM--;SFG-EWDM--;a-f-g-e-w-d-m
SFG-EWDMS-;SFG-EWDMS-;a-f-g-e-w-d-m-s
SFG-EWDH--;SFG-EWDH--;a-f-g-e-w-d-h
SFG-EWDHS-;SFG-EWDHS-;a-f-g-e-w-d-h-s
SFG-EWA---;SFG-EWA---;a-f-g-e-w-a
SFG-EWAL--;SFG-EWAL--;a-f-g-e-w-a-l
SFG-EWAM--;SFG-EWAM--;a-f-g-e-w-a-m
SFG-EWAH--;SFG-EWAH--;a-f-g-e-w-a-h
SFG-EV----;SFG-EV----;a-f-g-e-v
SFG-EVA---;SFG-EVA---;a-f-g-e-v-a
SFG-EVAT--;SFG-EVAT--;a-f-g-e-v-a-t
SFG-EVATL-;SFG-EVATL-;a-f-g-e-v-a-t-l
SFG-EVATW-;SFG-EVATLR;a-f-g-e-v-a-t-l-r
SFG-EVATM-;SFG-EVATM-;a-f-g-e-v-a-t-m
SFG-EVATX-;SFG-EVATMR;a-f-g-e-v-a-t-m-r
SFG-EVATH-;SFG-EVATH-;a-f-g-e-v-a-t-h
SFG-EVATY-;SFG-EVATHR;a-f-g-e-v-a-t-h-r
SFG-EVAA--;SFG-EVAA--;a-f-g-e-v-a-a
SFG-EVAAR-;SFG-EVAAR-;a-f-g-e-v-a-a-r
SFG-EVAI--;SFG-EVAI--;a-f-g-e-v-a-i
SFG-EVAC--;SFG-EVAC--;a-f-g-e-v-a-c
SFG-EVAS--;SFG-EVAS--;a-f-g-e-v-a-s
SFG-EVAL--;SFG-EVAL--;a-f-g-e-v-a-l
SFG-EVU---;SFG-EVU---;a-f-g-e-v-u
SFG-EVUB--;SFG-EVUB--;a-f-g-e-v-u-b
SFG-EVUS--;SFG-EVUS--;a-f-g-e-v-u-s
SFG-EVUL--;SFG-EVUL--;a-f-g-e-v-u-l
SFG-EVUX--;SFG-EVUX--;a-f-g-e-v-u-x
SFG-EVUR--;SFG-EVUR--;a-f-g-e-v-u-r
SFG-EVE---;SFG-EVE---;a-f-g-e-v-e
SFG-EVEB--;SFG-EVEB--;a-f-g-e-v-e-b
SFG-EVEE--;SFG-EVEE--;a-f-g-e-v-e-e
SFG-EVEC--;SFG-EVEC--;a-f-g-e-v-e-c
SFG-EVEM--;SFG-EVEM--;a-f-g-e-v-e-m
SFG-EVEMA-;SFG-EVEM--;a-f-g-e-v-e-m
SFG-EVEMT-;SFG-EVEM--;a-f-g-e-v-e-m
SFG-EVEMV-;SFG-EVEM--;a-f-g-e-v-e-m
SFG-EVEML-;SFG-EVEM--;a-f-g-e-v-e-m
SFG-EVED--;SFG-EVED--;a-f-g-e-v-e-d
SFG-EVST--;SFG-EVST--;a-f-g-e-v-s-t
SFG-EVC---;SFG-EVC---;a-f-g-e-v-c
SFG-ES----;SFG-ES----;a-f-g-e-s
SFG-ESR---;SFG-ESR---;a-f-g-e-s-r
SFG-ESE---;SFG-ESE---;a-f-g-e-s-e
SFG-EXL---;SFG-EXL---;a-f-g-e-x-l
SFG-EXN---;SFG-EXN---;a-f-g-e-x-n
SFG-EXF---;SFG-EXF---;a-f-g-e-x-f
SFG-EXM---;SFG-EXM---;a-f-g-e-x-m
SFG-EXMC--;SFG-EXMC--;a-f-g-e-x-m-c
SFG-EXML--;SFG-EXML--;a-f-g-e-x-m-l
SFG-I-----;SFG-I-----;a-f-g-u
SFG-IR----;SFG-IR----;a-f-g
SFG-IRM---;SFG-IRM---;a-f-g-u
SFG-IRP---;SFG-IRP---;a-f-g-u
SFG-IRN---;SFG-IRN---;a-f-g-u
SFG-IRNB--;SFG-IRNB--;a-f-g-u
SFG-IRNC--;SFG-IRNC--;a-f-g-u
SFG-IRNN--;SFG-IRNN--;a-f-g-u
SFG-IP----;SFG-IP----;a-f-g-u
SFG-IPD---;SFG-IPD---;a-f-g-u
SFG-IE----;SFG-IE----;a-f-g-u
SFG-IU----;SFG-IU----;a-f-g-u
SFG-IUR---;SFG-IUR---;a-f-g-u
SFG-IUT---;SFG-IUT---;a-f-g-u
SFG-IUE---;SFG-IUE---;a-f-g-u
SFG-IUP---;SFG-IUP---;a-f-g-u
SFG-IMF---;SFG-IMF---;a-f-g-u
SFG-IMA---;SFG-IMA---;a-f-g-u
SFG-IME---;SFG-IME---;a-f-g-u
SFG-IMG---;SFG-IMG---;a-f-g-u
SFG-IMV---;SFG-IMV---;a-f-g-u
SFG-IMN---;SFG-IMN---;a-f-g-u
SFG-IMNB--;SFG-IMNB--;a-f-g-u
SFG-IMC---;SFG-IMC---;a-f-g-u
SFG-IMS---;SFG-IMS---;a-f-g-u
SFG-IMM---;SFG-IMM---;a-f-g-u
SFG-IG----;SFG-IG----;a-f-g-u
SFG-IB----;SFG-IB----;a-f-g-u
SFG-IBA---;SFG-IBA---;a-f-g-u
SFG-IBN---;SFG-IBN---;a-f-g-u
SFG-IT----;SFG-IT----;a-f-g-u
SFG-IX----;SFG-IX----;a-f-g-u
SFG-IXH---;SFG-IXH---;a-f-g-i-x-h
SFS-------;SFS-------;a-f-s
SFS-C-----;SFS-C-----;a-f-s-c
SFS-CL----;SFS-CL----;a-f-s-c-l
SFS-CLCV--;SFS-CLCV--;a-f-s-c-l-c-v
SFS-CLBB--;SFS-CLBB--;a-f-s-c-l-b-b
SFS-CLCC--;SFS-CLCC--;a-f-s-c-l-c-c
SFS-CLDD--;SFS-CLDD--;a-f-s-c-l-d-d
SFS-CLFF--;SFS-CLFF--;a-f-s-c-l-f-f
SFS-CA----;SFS-CA----;a-f-s-c-a
SFS-CALA--;SFS-CALA--;a-f-s-c-a-l-a
SFS-CALS--;SFS-CALS--;a-f-s-c-a-l-s
SFS-CALC--;SFS-CALC--;a-f-s-c-a-l-c
SFS-CM----;SFS-CM----;a-f-s-c-m
SFS-CMML--;SFS-CMML--;a-f-s-c-m-m-l
SFS-CMMS--;SFS-CMMS--;a-f-s-c-m-m-s
SFS-CMMH--;SFS-CMMH--;a-f-s-c-m-m-h
SFS-CMMA--;SFS-CMMA--;a-f-s-c-m-m-a
SFS-CMMD--;SFS-CMMA--;a-f-s-c-m-m-a
SFS-CP----;SFS-CP----;a-f-s-c-p
SFS-CPSB--;SFS-CPSB--;a-f-s-c-p-s-b
SFS-CPSU--;SFS-CPSU--;a-f-s-c-p-s-u
SFS-CH----;SFS-CH----;a-f-s-c-h
SFS-S-----;SFS-------;a-f-s
SFS-SP----;SFS-------;a-f-s
SFS-SA----;SFS-------;a-f-s
SFS-G-----;SFS-G-----;a-f-s-g
SFS-GT----;SFS-GT----;a-f-s-g-t
SFS-GG----;SFS-GG----;a-f-s-g-g
SFS-GU----;SFS-GU----;a-f-s-g-u
SFS-GC----;SFS-GC----;a-f-s-g-c
SFS-N-----;SFS-N-----;a-f-s-n
SFS-NR----;SFS-NR----;a-f-s-n-r
SFS-NF----;SFS-NF----;a-f-s-n-f
SFS-NI----;SFS-NI----;a-f-s-n-i
SFS-NS----;SFS-NS----;a-f-s-n-s
SFS-NM----;SFS-NM----;a-f-s-n-m
SFS-NH----;SFS-NH----;a-f-s-n-h
SFS-NN----;SFS-NN----;a-f-s-n-n
SFS-NNR---;SFS-NNR---;a-f-s-n-n-f
SFS-XM----;SFS-XM----;a-f-s-x-m
SFS-XMC---;SFS-XMC---;a-f-s-x-m-c
SFS-XMR---;SFS-XMR---;a-f-s-x-m-r
SFS-XMO---;SFS-XMO---;a-f-s-x-m-o
SFS-XMTU--;SFS-XMTU--;a-f-s-x-m-t-u
SFS-XMF---;SFS-XMF---;a-f-s-x-m-f
SFS-XMP---;SFS-XMP---;a-f-s-x-m-p
SFS-XMH---;SFS-XMH---;a-f-s-x-m-h
SFS-XMTO--;SFS-XMTO--;a-f-s-x-m-t-o
SFS-XF----;SFS-XF----;a-f-s-x-f
SFS-XFDF--;SFS-XFDF--;a-f-s-x-f-d-f
SFS-XFDR--;SFS-XFDR--;a-f-s-x-f-d-r
SFS-XFTR--;SFS-XFTR--;a-f-s-x-f-t-r
SFS-XR----;SFS-XR----;a-f-s-x-r
SFS-XL----;SFS-XL----;a-f-s-x-l
SFS-XH----;SFS-XH----;a-f-s-x-h
SFS-O-----;SFS-O-----;a-f-s-o
SFS-ED----;GFO-ED----;a-f-s
SFS-EP----;GFO-EP----;a-f-s
SFS-EV----;GFO-EV----;a-f-s
SFS-ZM----;GFO-HM----;a-f-s
SFS-ZN----;GFO-HN----;a-f-s
SFS-ZI----;GFO-HI----;a-f-s
SFU-------;SFU-------;a-f-u
SFU-S-----;SFU-S-----;a-f-u-s
SFU-SN----;SFU-SN----;a-f-u-s-n
SFU-SC----;SFU-SC----;a-f-u-s-c
SFU-SO----;SFU-SO----;a-f-u-s-o
SFU-SS----;SFU-SS----;a-f-u-s-s
SFU-SSA---;SFU-SSA---;a-f-u-s-s-a
SFU-W-----;SFU-W-----;a-f-u-w
SFU-WT----;SFU-WT----;a-f-u-w-t
SFU-WM----;SFU-WM----;a-f-u-w-m
SFU-WMD---;SFU-WMD---;a-f-u-w-m-d
SFU-WMG---;SFU-WMG---;a-f-u-w-m-g
SFU-WMGD--;SFU-WMGD--;a-f-u-w-m-g-d
SFU-WMM---;SFU-WMM---;a-f-u-w-m-m
SFU-WMMD--;SFU-WMMD--;a-f-u-w-m-m-d
SFU-WMF---;SFU-WMF---;a-f-u-w-m-f
SFU-WMFD--;SFU-WMFD--;a-f-u-w-m-f-d
SFU-WMO---;SFU-WMO---;a-f-u-w-m-o
SFU-WMOD--;SFU-WMOD--;a-f-u-w-m-o-d
SFU-WD----;SFU-WD----;a-f-u-w-d
SFU-WDM---;SFU-WDM---;a-f-u-w-d-m
SFU-ND----;SFU-ND----;a-f-u-n-d
SFU-NB----;SFU-N-----;a-f-u-n
SFU-NBS---;GFO-SBM---;a-f-u
SFU-NBR---;GFO-SBN---;a-f-u
SFU-NBW---;SFU-N-----;a-f-u-n
SFU-NM----;GFO-SM----;a-f-u
SFU-NA----;GFO-SS----;a-f-u
SFF-------;SFF-------;a-f-f
SFF-A-----;SFF-A-----;s-f-f-a
SFF-AF----;SFF-AF----;a-f-f-a-f
SFF-AFA---;SFF-AFA---;a-f-f-a-f-a
SFF-AFK---;SFF-AFK---;a-f-f-a-f-k
SFF-AFU---;SFF-AFU---;a-f-f-a-f-u
SFF-AFUL--;SFF-AFUL--;a-f-f-a-f-u-l
SFF-AFUM--;SFF-AFUM--;a-f-f-a-f-u-m
SFF-AFUH--;SFF-AFUH--;a-f-f-a-f-u-h
SFF-AV----;SFF-AV----;a-f-f-a-v
SFF-AH----;SFF-AH----;a-f-f-a-h
SFF-AHH---;SFF-AHH---;a-f-f-a-h-h
SFF-AHA---;SFF-AHA---;a-f-f-a-h-a
SFF-AHU---;SFF-AHU---;a-f-f-a-h-u
SFF-AHUL--;SFF-AHUL--;a-f-f-a-h-u-l
SFF-AHUM--;SFF-AHUM--;a-f-f-a-h-u-m
SFF-AHUH--;SFF-AHUH--;a-f-f-a-h-u-h
SFF-SN----;SFF-N-----;a-f-f-n
SFF-SNS---;SFF-NS----;a-f-f-n-s
SFF-SNU---;SFF-NU----;a-f-f-n-u
SFF-SNB---;SFF-NB----;a-f-f-n-b
SFF-SNN---;SFF-NN----;a-f-f-n-n
SFF-G-----;SFF-G-----;a-f-f-g
SFF-GS----;SFF-GS----;a-f-f-g-s
SFF-GSR---;SFF-GR----;a-f-f-g-r
SFF-GSP---;SFF-GP----;a-f-f-g-p
SFF-GSPA--;SFF-GP----;a-f-f-g-p
SFF-GCA---;SFF-GC----;a-f-f-g-c
SFF-GB----;SFF-B-----;a-f-f-b
SHP-------;SHP-------;a-h-p
SHP-S-----;SHP-S-----;a-h-p-s
SHP-V-----;SHP-V-----;a-h-p-v
SHP-T-----;SHP-T-----;a-h-p-t
SHA-------;SHA-------;a-h-a
SHA-M-----;SHA-M-----;a-h-a-m
SHA-MF----;SHA-MF----;a-h-a-m-f
SHA-MFB---;SHA-MFB---;a-h-a-m-f-b
SHA-MFF---;SHA-MFF---;a-h-a-m-f-f
SHA-MFFI--;SHA-MFFI--;a-h-a-m-f-f-i
SHA-MFT---;SHA-MFT---;a-h-a-m-f-t
SHA-MFA---;SHA-MFA---;a-h-a-m-f-a
SHA-MFL---;SHA-MFL---;a-h-a-m-f-l
SHA-MFK---;SHA-MFK---;a-h-a-m-f-k
SHA-MFC---;SHA-MFC---;a-h-a-m-f-c
SHA-MFCL--;SHA-MFCL--;a-h-a-m-f-c-l
SHA-MFCM--;SHA-MFCM--;a-h-a-m-f-c-m
SHA-MFCH--;SHA-MFCH--;a-h-a-m-f-c-h
SHA-MFJ---;SHA-MFJ---;a-h-a-m-f-j
SHA-MFO---;SHA-MFO---;a-h-a-m-f-o
SHA-MFR---;SHA-MFR---;a-h-a-m-f-r
SHA-MFRW--;SHA-MFRW--;a-h-a-m-f-r-w
SHA-MFRZ--;SHA-MFRZ--;a-h-a-m-f-r-z
SHA-MFRX--;SHA-MFRX--;a-h-a-m-f-r-x
SHA-MFP---;SHA-MFP---;a-h-a-m-f-p
SHA-MFPN--;SHA-MFPN--;a-h-a-m-f-p-n
SHA-MFPM--;SHA-MFPM--;a-h-a-m-f-p-m
SHA-MFU---;SHA-MFU---;a-h-a-m-f-u
SHA-MFUL--;SHA-MFUL--;a-h-a-m-f-u-l
SHA-MFUM--;SHA-MFUM--;a-h-a-m-f-u-m
SHA-MFUH--;SHA-MFUH--;a-h-a-m-f-u-h
SHA-MFY---;SHA-MFY---;a-h-a-m-f-y
SHA-MFH---;SHA-MFH---;a-h-a-m-f-h
SHA-MFD---;SHA-MFD---;a-h-a-m-f-d
SHA-MFQ---;SHA-MFQ---;a-h-a-m-f-q
SHA-MFS---;SHA-MFS---;a-h-a-m-f-s
SHA-MFM---;SHA-MFM---;a-h-a-m-f-m
SHA-MH----;SHA-MH----;a-h-a-m-h
SHA-MHA---;SHA-MHA---;a-h-a-m-h-a
SHA-MHS---;SHA-MHS---;a-h-a-m-h-s
SHA-MHU---;SHA-MHU---;a-h-a-m-h-u
SHA-MHUL--;SHA-MHUL--;a-h-a-m-h-u-l
SHA-MHUM--;SHA-MHUM--;a-h-a-m-h-u-m
SHA-MHUH--;SHA-MHUH--;a-h-a-m-h-u-h
SHA-MHI---;SHA-MHI---;a-h-a-m-h-i
SHA-MHH---;SHA-MHH---;a-h-a-m-h-h
SHA-MHR---;SHA-MHR---;a-h-a-m-h-r
SHA-MHQ---;SHA-MHQ---;a-h-a-m-h-q
SHA-MHC---;SHA-MHC---;a-h-a-m-h-c
SHA-MHCL--;SHA-MHCL--;a-h-a-m-h-c-l
SHA-MHCM--;SHA-MHCM--;a-h-a-m-h-c-m
SHA-MHCH--;SHA-MHCH--;a-h-a-m-h-c-h
SHA-MHT---;SHA-MHT---;a-h-a-m-h-t
SHA-MHO---;SHA-MHO---;a-h-a-m-h-o
SHA-MHM---;SHA-MHM---;a-h-a-m-h-m
SHA-MHD---;SHA-MHD---;a-h-a-m-h-d
SHA-MHK---;SHA-MHK---;a-h-a-m-h-k
SHA-MHJ---;SHA-MHJ---;a-h-a-m-h-j
SHA-ML----;SHA-ML----;a-h-a-m-l
SHA-W-----;SHA-W-----;a-h-a-w
SHA-WM----;SHA-WM----;a-h-a-w-m
SHA-WMS---;SHA-WMS---;a-h-a-w-m-s
SHA-WMSS--;SHA-WMSS--;a-h-a-w-m-s-s
SHA-WMSA--;SHA-WMSA--;a-h-a-w-m-s-a
SHA-WMA---;SHA-WMA---;a-h-a-w-m-a
SHA-WMAS--;SHA-WMAS--;a-h-a-w-m-a-s
SHA-WMAA--;SHA-WMAA--;a-h-a-w-m-a-a
SHA-WMU---;SHA-WMU---;a-h-a-w-m-u
SHA-WML---;SHA-WM----;a-h-a-w-m
SHA-WD----;SHA-WD----;a-h-a-w-d
SHA-C-----;SHA-C-----;a-h-a-c
SHA-CF----;SHA-CF----;a-h-a-c-f
SHA-CH----;SHA-CH----;a-h-a-c-h
SHA-CL----;SHA-CL----;a-h-a-c-l
SHG-------;SHG--------;a-h-g
SHG-U-----;SHG-U-----;a-h-g-u
SHG-UC----;SHG-UC----;a-h-g-u-c
SHG-UCD---;SHG-UCD---;a-h-g-u-c-d
SHG-UCDS--;SHG-UCDS--;a-h-g-u-c-d-s
SHG-UCDSC-;SHG-UCDSC-;a-h-g-p-u-c-d-s-c
SHG-UCDSS-;SHG-UCDSS-;a-h-g-p-u-c-d-s-s
SHG-UCDSV-;SHG-UCDSV-;a-h-g-p-u-c-d-s-v
SHG-UCDM--;SHG-UCDM--;a-h-g-u-c-d-m
SHG-UCDML-;SHG-UCDML-;a-h-g-u-c-d-m-l
SHG-UCDMLA;SHG-UCDMLA;a-h-g-u-c-d-m-l-a
SHG-UCDMM-;SHG-UCDMM-;a-h-g-u-c-d-m-m
SHG-UCDMH-;SHG-UCDMH-;a-h-g-u-c-d-m-h
SHG-UCDH--;SHG-UCDH--;a-h-g-u-c-d-h
SHG-UCDHH-;SHG-UCDHH-;a-h-g-p-u-c-d-s
SHG-UCDHP-;SHG-UCDHP-;a-h-g-p-u-c-d-s
SHG-UCDG--;SHG-UCDG--;a-h-g-u-c-d-g
SHG-UCDC--;SHG-UCDC--;a-h-g-u-c-d-c
SHG-UCDT--;SHG-UCDT--;a-h-g-u-c-d-t
SHG-UCDO--;SHG-UCDO--;a-h-g-u-c-d-o
SHG-UCA---;SHG-UCA---;a-h-g-u-c-a
SHG-UCAT--;SHG-UCAT--;a-h-g-u-c-a-t
SHG-UCATA-;SHG-UCATA-;a-h-g-u-c-a-t-a
SHG-UCATW-;SHG-UCATW-;a-h-g-u-c-a-t-w
SHG-UCATWR;SHG-UCATWR;a-h-g-u-c-a-t-w-r
SHG-UCATL-;SHG-UCATL-;a-h-g-u-c-a-t-l
SHG-UCATM-;SHG-UCATM-;a-h-g-u-c-a-t-m
SHG-UCATH-;SHG-UCATH-;a-h-g-u-c-a-t-h
SHG-UCATR-;SHG-UCATR-;a-h-g-u-c-a-t-r
SHG-UCAW--;SHG-UCAW--;a-h-g-u-c-a-w
SHG-UCAWS-;SHG-UCAWS-;a-h-g-u-c-a-w-s
SHG-UCAWA-;SHG-UCAWA-;a-h-g-u-c-a-w-a
SHG-UCAWW-;SHG-UCAWW-;a-h-g-u-c-a-w-w
SHG-UCAWWR;SHG-UCAWWR;a-h-g-u-c-a-w-w-r
SHG-UCAWL-;SHG-UCAWL-;a-h-g-u-c-a-w-l
SHG-UCAWM-;SHG-UCAWM-;a-h-g-u-c-a-w-m
SHG-UCAWH-;SHG-UCAWH-;a-h-g-u-c-a-w-h
SHG-UCAWR-;SHG-UCAWR-;a-h-g-u-c-a-w-r
SHG-UCAA--;SHG-UCAA--;a-h-g-u-c-a-a
SHG-UCAAD-;SHG-UCAAD-;a-h-g-u-c-a-a-d
SHG-UCAAL-;SHG-UCAAL-;a-h-g-u-c-a-a-l
SHG-UCAAM-;SHG-UCAAM-;a-h-g-u-c-a-a-m
SHG-UCAAS-;SHG-UCAAS-;a-h-g-u-c-a-a-s
SHG-UCAAU-;SHG-UCAAU-;a-h-g-u-c-a-a-u
SHG-UCAAC-;SHG-UCAAC-;a-h-g-u-c-a-a-c
SHG-UCAAA-;SHG-UCAAA-;a-h-g-u-c-a-a-a
SHG-UCAAAT;SHG-UCAAAT;a-h-g-u-c-a-a-a-t
SHG-UCAAAW;SHG-UCAAAW;a-h-g-u-c-a-a-a-w
SHG-UCAAAS;SHG-UCAAAS;a-h-g-u-c-a-a-a-s
SHG-UCAAO-;SHG-UCAAO-;a-h-g-u-c-a-a-o
SHG-UCAAOS;SHG-UCAAOS;a-h-g-u-c-a-a-o-s
SHG-UCV---;SHG-UCV---;a-h-g-u-c-v
SHG-UCVF--;SHG-UCVF--;a-h-g-u-c-v-f
SHG-UCVFU-;SHG-UCVFU-;a-h-g-u-c-v-f-u
SHG-UCVFA-;SHG-UCVFA-;a-h-g-u-c-v-f-a
SHG-UCVFR-;SHG-UCVFR-;a-h-g-u-c-v-f-r
SHG-UCVR--;SHG-UCVR--;a-h-g-u-c-v-r
SHG-UCVRA-;SHG-UCVRA-;a-h-g-u-c-v-r-a
SHG-UCVRS-;SHG-UCVRS-;a-h-g-u-c-v-r-s
SHG-UCVRW-;SHG-UCVRW-;a-h-g-u-c-v-r-w
SHG-UCVRU-;SHG-UCVRU-;a-h-g-u-c-v-r-u
SHG-UCVRUL;SHG-UCVRUL;a-h-g-u-c-v-r-u-l
SHG-UCVRUM;SHG-UCVRUM;a-h-g-u-c-v-r-u-m
SHG-UCVRUH;SHG-UCVRUH;a-h-g-u-c-v-r-u-h
SHG-UCVRUC;SHG-UCVRUC;a-h-g-u-c-v-r-u-c
SHG-UCVRUE;SHG-UCVRUE;a-h-g-u-c-v-r-u-e
SHG-UCVRM-;SHG-UCVRM-;a-h-g-u-c-v-r-m
SHG-UCVS--;SHG-UCVS--;a-h-g-u-c-v-s
SHG-UCVC--;SHG-UCVC--;a-h-g-u-c-v-c
