APP6A;MIL2525C;CoT
SFG-UCATH-;SFG-UCATH-;a-f-g-u-c-a-t-h
SFG-UCATR-;SFG-UCATR-;a-f-g-u-c-a-t-r
SFG-UCAW--;SFG-UCAW--;a-f-g-u-c-a-w
SFG-UCAWS-;SFG-UCAWS-;a-f-g-u-c-a-w-s
SFG-UCAWA-;SFG-UCAWA-;a-f-g-u-c-a-w-a
SFG-UCAWW-;SFG-UCAWW-;a-f-g-u-c-a-w-w
SFG-UCAWWR;SFG-UCAWWR;a-f-g-u-c-a-w-w-r
SFG-UCAWL-;SFG-UCAWL-;a-f-g-u-c-a-w-l
SFG-UCAWM-;SFG-UCAWM-;a-f-g-u-c-a-w-m
SFG-UCAWH-;SFG-UCAWH-;a-f-g-u-c-a-w-h
SFG-UCAWR-;SFG-UCAWR-;a-f-g-u-c-a-w-r
SFG-UCAA--;SFG-UCAA--;a-f-g-u-c-a-a
SFG-UCAAD-;SFG-UCAAD-;a-f-g-u-c-a-a-d
SFG-UCAAL-;SFG-UCAAL-;a-f-g-u-c-a-a-l
SFG-UCAAM-;SFG-UCAAM-;a-f-g-u-c-a-a-m
SFG-UCAAS-;SFG-UCAAS-;a-f-g-u-c-a-a-s
SFG-UCAAU-;SFG-UCAAU-;a-f-g-u-c-a-a-u
SFG-UCAAC-;SFG-UCAAC-;a-f-g-u-c-a-a-c
SFG-UCAAA-;SFG-UCAAA-;a-f-g-u-c-a-a-a
SFG-UCAAAT;SFG-UCAAAT;a-f-g-u-c-a-a-a-t
SFG-UCAAAW;SFG-UCAAAW;a-f-g-u-c-a-a-a-w
SFG-UCAAAS;SFG-UCAAAS;a-f-g-u-c-a-a-a-s
SFG-UCAAO-;SFG-UCAAO-;a-f-g-u-c-a-a-o
SFG-UCAAOS;SFG-UCAAOS;a-f-g-u-c-a-a-o-s
SFG-UCV---;SFG-UCV---;a-f-g-u-c-v
SFG-UCVF--;SFG-UCVF--;a-f-g-u-c-v-f
SFG-UCVFU-;SFG-UCVFU-;a-f-g-u-c-v-f-u
SFG-UCVFA-;SFG-UCVFA-;a-f-g-u-c-v-f-a
SFG-UCVFR-;SFG-UCVFR-;a-f-g-u-c-v-f-r
SFG-UCVR--;SFG-UCVR--;a-f-g-u-c-v-r
SFG-UCVRA-;SFG-UCVRA-;a-f-g-u-c-v-r-a
SFG-UCVRS-;SFG-UCVRS-;a-f-g-u-c-v-r-s
SFG-UCVRW-;SFG-UCVRW-;a-f-g-u-c-v-r-w
SFG-UCVRU-;SFG-UCVRU-;a-f-g-u-c-v-r-u
SFG-UCVRUL;SFG-UCVRUL;a-f-g-u-c-v-r-u-l
SFG-UCVRUM;SFG-UCVRUM;a-f-g-u-c-v-r-u-m
SFG-UCVRUH;SFG-UCVRUH;a-f-g-u-c-v-r-u-h
SFG-UCVRUC;SFG-UCVRUC;a-f-g-u-c-v-r-u-c
SFG-UCVRUE;SFG-UCVRUE;a-f-g-u-c-v-r-u-e
SFG-UCVRM-;SFG-UCVRM-;a-f-g-u-c-v-r-m
SFG-UCVS--;SFG-UCVS--;a-f-g-u-c-v-s
SFG-UCVC--;SFG-UCVC--;a-f-g-u-c-v-c
SFG-UCVV--;SFG-UCVV--;a-f-g-u-c-v-v
SFG-UCVU--;SFG-UCVU--;a-f-g-u-c-v-u
SFG-UCVUF-;SFG-UCVUF-;a-f-g-u-c-v-u-f
SFG-UCVUR-;SFG-UCVUR-;a-f-g-u-c-v-u-r
SFG-UCI---;SFG-UCI---;a-f-g-u-c-i
SFG-UCIL--;SFG-UCIL--;a-f-g-u-c-i-l
SFG-UCIM--;SFG-UCIM--;a-f-g-u-c-i-m
SFG-UCIO--;SFG-UCIO--;a-f-g-u-c-i-o
SFG-UCIA--;SFG-UCIA--;a-f-g-u-c-i-a
SFG-UCIS--;SFG-UCIS--;a-f-g-u-c-i-s
SFG-UCIZ--;SFG-UCIZ--;a-f-g-u-c-i-z
SFG-UCIN--;SFG-UCIN--;a-f-g-u-c-i-n
SFG-UCII--;SFG-UCII--;a-f-g-u-c-i-i
SFG-UCIC--;SFG-UCIC--;a-f-g-u-c-i-c
SFG-UCE---;SFG-UCE---;a-f-g-u-c-e
SFG-UCEC--;SFG-UCEC--;a-f-g-u-c-e-c
SFG-UCECS-;SFG-UCECS-;a-f-g-u-c-e-c-s
SFG-UCECA-;SFG-UCECA-;a-f-g-u-c-e-c-a
SFG-UCECC-;SFG-UCECC-;a-f-g-u-c-e-c-c
SFG-UCECL-;SFG-UCECL-;a-f-g-u-c-e-c-l
SFG-UCECM-;SFG-UCECM-;a-f-g-u-c-e-c-m
SFG-UCECH-;SFG-UCECH-;a-f-g-u-c-e-c-h
SFG-UCECT-;SFG-UCECT-;a-f-g-u-c-e-c-t
SFG-UCECW-;SFG-UCECW-;a-f-g-u-c-e-c-w
SFG-UCECO-;SFG-UCECO-;a-f-g-u-c-e-c-o
SFG-UCECR-;SFG-UCECR-;a-f-g-u-c-e-c-r
SFG-UCEN--;SFG-UCEN--;a-f-g-u-c-e-n
SFG-UCENN-;SFG-UCENN-;a-f-g-u-c-e-n-n
SFG-UCF---;SFG-UCF---;a-f-g-u-c-f
SFG-UCFH--;SFG-UCFH--;a-f-g-u-c-f-h
SFG-UCFHE-;SFG-UCFHE-;a-f-g-u-c-f-h-e
SFG-UCFHS-;SFG-UCFHS-;a-f-g-u-c-f-h-s
SFG-UCFHA-;SFG-UCFHA-;a-f-g-u-c-f-h-a
SFG-UCFHC-;SFG-UCFHC-;a-f-g-u-c-f-h-c
SFG-UCFHO-;SFG-UCFHO-;a-f-g-u-c-f-h-o
SFG-UCFHL-;SFG-UCFHL-;a-f-g-u-c-f-h-l
SFG-UCFHM-;SFG-UCFHM-;a-f-g-u-c-f-h-m
SFG-UCFHH-;SFG-UCFHH-;a-f-g-u-c-f-h-h
SFG-UCFHX-;SFG-UCFHX-;a-f-g-u-c-f-h-x
SFG-UCFR--;SFG-UCFR--;a-f-g-u-c-f-r
SFG-UCFRS-;SFG-UCFRS-;a-f-g-u-c-f-r-s
SFG-UCFRSS;SFG-UCFRSS;a-f-g-u-c-f-r-s-s
SFG-UCFRSR;SFG-UCFRSR;a-f-g-u-c-f-r-s-r
SFG-UCFRST;SFG-UCFRST;a-f-g-u-c-f-r-s-t
SFG-UCFRM-;SFG-UCFRM-;a-f-g-u-c-f-r-m
SFG-UCFRMS;SFG-UCFRMS;a-f-g-u-c-f-r-m-s
SFG-UCFRMR;SFG-UCFRMR;a-f-g-u-c-f-r-m-r
SFG-UCFRMT;SFG-UCFRMT;a-f-g-u-c-f-r-m-t
SFG-UCFT--;SFG-UCFT--;a-f-g-u-c-f-t
SFG-UCFTR-;SFG-UCFTR-;a-f-g-u-c-f-t-r
SFG-UCFTS-;SFG-UCFTS-;a-f-g-u-c-f-t-s
SFG-UCFTF-;SFG-UCFTF-;a-f-g-u-c-f-t-f
SFG-UCFTC-;SFG-UCFTC-;a-f-g-u-c-f-t-c
SFG-UCFTCD;SFG-UCFTCD;a-f-g-u-c-f-t-c-d
SFG-UCFTCM;SFG-UCFTCM;a-f-g-u-c-f-t-c-m
SFG-UCFTA-;SFG-UCFTA-;a-f-g-u-c-f-t-a
SFG-UCFM--;SFG-UCFM--;a-f-g-u-c-f-m
SFG-UCFMS-;SFG-UCFMS-;a-f-g-u-c-f-m-s
SFG-UCFMSW;SFG-UCFMW-;a-f-g-u-c-f-m-w
SFG-UCFMT-;SFG-UCFMT-;a-f-g-u-c-f-m-t
SFG-UCFMTA;SFG-UCFMTA;a-f-g-u-c-f-m-t-a
SFG-UCFMTS;SFG-UCFMTS;a-f-g-u-c-f-m-t-s
SFG-UCFMTC;SFG-UCFMTC;a-f-g-u-c-f-m-t-c
SFG-UCFMTO;SFG-UCFMTO;a-f-g-u-c-f-m-t-o
SFG-UCFML-;SFG-UCFML-;a-f-g-u-c-f-m-l
SFG-UCFS--;SFG-UCFS--;a-f-g-u-c-f-s
SFG-UCFSS-;SFG-UCFSS-;a-f-g-u-c-f-s-s
SFG-UCFSA-;SFG-UCFSA-;a-f-g-u-c-f-s-a
SFG-UCFSL-;SFG-UCFSL-;a-f-g-u-c-f-s-l
SFG-UCFSO-;SFG-UCFSO-;a-f-g-u-c-f-s-o
SFG-UCFO--;SFG-UCFO--;a-f-g-u-c-f-o
SFG-UCFOS-;SFG-UCFOS-;a-f-g-u-c-f-o-s
SFG-UCFOA-;SFG-UCFOA-;a-f-g-u-c-f-o-a
SFG-UCFOL-;SFG-UCFOL-;a-f-g-u-c-f-o-l
SFG-UCFOO-;SFG-UCFOO-;a-f-g-u-c-f-o-o
SFG-UCR---;SFG-UCR---;a-f-g-u-c-r
SFG-UCRH--;SFG-UCRH--;a-f-g-u-c-r-h
SFG-UCRV--;SFG-UCRV--;a-f-g-u-c-r-v
SFG-UCRVA-;SFG-UCRVA-;a-f-g-u-c-r-v-a
SFG-UCRVM-;SFG-UCRVM-;a-f-g-u-c-r-v-m
SFG-UCRVG-;SFG-UCRVG-;a-f-g-u-c-r-v-g
SFG-UCRVO-;SFG-UCRVO-;a-f-g-u-c-r-v-o
SFG-UCRC--;SFG-UCRC--;a-f-g-u-c-r-c
SFG-UCRS--;SFG-UCRS--;a-f-g-u-c-r-s
SFG-UCRA--;SFG-UCRA--;a-f-g-u-c-r-a
SFG-UCRO--;SFG-UCRO--;a-f-g-u-c-r-o
SFG-UCRL--;SFG-UCRL--;a-f-g-u-c-r-l
SFG-UCRR--;SFG-UCRR--;a-f-g-u-c-r-r
SFG-UCRRD-;SFG-UCRRD-;a-f-g-u-c-r-r-d
SFG-UCRRF-;SFG-UCRRF-;a-f-g-u-c-r-r-f
SFG-UCRRL-;SFG-UCRRL-;a-f-g-u-c-r-r-l
SFG-UCRX--;SFG-UCRX--;a-f-g-u-c-r-x
SFG-UCM---;SFG-UCM---;a-f-g-u-c-m
SFG-UCMT--;SFG-UCMT--;a-f-g-u-c-m-t
SFG-UCMS--;SFG-UCMS--;a-f-g-u-c-m-s
SFG-UCS---;SFG-UCS---;a-f-g-u-c-s
SFG-UCSW--;SFG-UCSW--;a-f-g-u-c-s-w
SFG-UCSG--;SFG-UCSG--;a-f-g-u-c-s-g
SFG-UCSGD-;SFG-UCSGD-;a-f-g-u-c-s-g-d
SFG-UCSGM-;SFG-UCSGM-;a-f-g-u-c-s-g-m
SFG-UCSGA-;SFG-UCSGA-;a-f-g-u-c-s-g-a
SFG-UCSM--;SFG-UCSM--;a-f-g-u-c-s-m
SFG-UCSR--;SFG-UCSR--;a-f-g-u-c-s-r
SFG-UCSA--;SFG-UCSA--;a-f-g-u-c-s-a
SFG-UU----;SFG-UU----;a-f-g-u-u
SFG-UUA---;SFG-UUA---;a-f-g-u-u-a
SFG-UUAC--;SFG-UUAC--;a-f-g-u-u-a-c
SFG-UUACC-;SFG-UUACC-;a-f-g-u-u-a-c-c
SFG-UUACCK;SFG-UUACCK;a-f-g-u-u-a-c-c-k
SFG-UUACCM;SFG-UUACCM;a-f-g-u-u-a-c-c-m
SFG-UUACS-;SFG-UUACS-;a-f-g-u-u-a-c-s
SFG-UUACSM;SFG-UUACSM;a-f-g-u-u-a-c-s-m
SFG-UUACSA;SFG-UUACSA;a-f-g-u-u-a-c-s-a
SFG-UUACR-;SFG-UUACR-;a-f-g-u-u-a-c-r
SFG-UUACRW;SFG-UUACRW;a-f-g-u-u-a-c-r-w
SFG-UUACRS;SFG-UUACRS;a-f-g-u-u-a-c-r-s
SFG-UUAN--;SFG-UUAN--;a-f-g-u-u-a-n
SFG-UUAB--;SFG-UUAB--;a-f-g-u-u-a-b
SFG-UUABR-;SFG-UUABR-;a-f-g-u-u-a-b-r
SFG-UUAD--;SFG-UUAD--;a-f-g-u-u-a-d
SFG-UUM---;SFG-UUM---;a-f-g-u-u-m
SFG-UUMA--;SFG-UUMA--;a-f-g-u-u-m-a
SFG-UUMS--;SFG-UUMS--;a-f-g-u-u-m-s
SFG-UUMSE-;SFG-UUMSE-;a-f-g-u-u-m-s-e
SFG-UUMSEA;SFG-UUMSEA;a-f-g-u-u-m-s-e-a
SFG-UUMSED;SFG-UUMSED;a-f-g-u-u-m-s-e-d
SFG-UUMSEI;SFG-UUMSEI;a-f-g-u-u-m-s-e-i
SFG-UUMSEJ;SFG-UUMSEJ;a-f-g-u-u-m-s-e-j
SFG-UUMSET;SFG-UUMSET;a-f-g-u-u-m-s-e-t
SFG-UUMSEC;SFG-UUMSEC;a-f-g-u-u-m-s-e-c
SFG-UUMC--;SFG-UUMC--;a-f-g-u-u-m-c
SFG-UUMR--;SFG-UUMR--;a-f-g-u-u-m-r
SFG-UUMRG-;SFG-UUMRG-;a-f-g-u-u-m-r-g
SFG-UUMRS-;SFG-UUMRS-;a-f-g-u-u-m-r-s
SFG-UUMRSS;SFG-UUMRSS;a-f-g-u-u-m-r-s-s
SFG-UUMRX-;SFG-UUMRX-;a-f-g-u-u-m-r-x
SFG-UUMMO-;SFG-UUMMO-;a-f-g-u-u-m-m-o
SFG-UUMO--;SFG-UUMO--;a-f-g-u-u-m-o
SFG-UUMT--;SFG-UUMT--;a-f-g-u-u-m-t
SFG-UUMQ--;SFG-UUMQ--;a-f-g-u-u-m-q
SFG-UUMJ--;SFG-UUMJ--;a-f-g-u-u-m-j
SFG-UUL---;SFG-UUL---;a-f-g-u-u-l
SFG-UULS--;SFG-UULS--;a-f-g-u-u-l-s
SFG-UULM--;SFG-UULM--;a-f-g-u-u-l-m
SFG-UULC--;SFG-UULC--;a-f-g-u-u-l-c
SFG-UULF--;SFG-UULF--;a-f-g-u-u-l-f
SFG-UULD--;SFG-UULD--;a-f-g-u-u-l-d
SFG-UUS---;SFG-UUS---;a-f-g-u-u-s
SFG-UUSA--;SFG-UUSA--;a-f-g-u-u-s-a
SFG-UUSC--;SFG-UUSC--;a-f-g-u-u-s-c
SFG-UUSCL-;SFG-UUSCL-;a-f-g-u-u-s-c-l
SFG-UUSO--;SFG-UUSO--;a-f-g-u-u-s-o
SFG-UUSF--;SFG-UUSF--;a-f-g-u-u-s-f
SFG-UUSM--;SFG-UUSM--;a-f-g-u-u-s-m
SFG-UUSMS-;SFG-UUSMS-;a-f-g-u-u-s-m-s
SFG-UUSML-;SFG-UUSML-;a-f-g-u-u-s-m-l
SFG-UUSMN-;SFG-UUSMN-;a-f-g-u-u-s-m-n
SFG-UUSR--;SFG-UUSR--;a-f-g-u-u-s-r
SFG-UUSRS-;SFG-UUSRS-;a-f-g-u-u-s-r-s
SFG-UUSRT-;SFG-UUSRT-;a-f-g-u-u-s-r-t
SFG-UUSRW-;SFG-UUSRW-;a-f-g-u-u-s-r-w
SFG-UUSS--;SFG-UUSS--;a-f-g-u-u-s-s
SFG-UUSW--;SFG-UUSW--;a-f-g-u-u-s-w
SFG-UUSX--;SFG-UUSX--;a-f-g-u-u-s-x
SFG-UUI---;SFG-UUI---;a-f-g-u-u-i
SFG-UUX---;SFG-UU----;a-f-g-u-u
SFG-UUE---;SFG-UUE---;a-f-g-u-u-e
SFG-US----;SFG-US----;a-f-g-u-s
SFG-USA---;SFG-USA---;a-f-g-u-s-a
SFG-USAT--;SFG-USAT--;a-f-g-u-s-a-t
SFG-USAC--;SFG-USAC--;a-f-g-u-s-a-c
SFG-USAJ--;SFG-USAJ--;a-f-g-u-s-a-j
SFG-USAJT-;SFG-USAJT-;a-f-g-u-s-a-j-t
SFG-USAJC-;SFG-USAJC-;a-f-g-u-s-a-j-c
SFG-USAO--;SFG-USAO--;a-f-g-u-s-a-o
SFG-USAOT-;SFG-USAOT-;a-f-g-u-s-a-o-t
SFG-USAOC-;SFG-USAOC-;a-f-g-u-s-a-o-c
SFG-USAF--;SFG-USAF--;a-f-g-u-s-a-f
SFG-USAFT-;SFG-USAFT-;a-f-g-u-s-a-f-t
SFG-USAFC-;SFG-USAFC-;a-f-g-u-s-a-f-c
SFG-USAS--;SFG-USAS--;a-f-g-u-s-a-s
SFG-USAST-;SFG-USAST-;a-f-g-u-s-a-s-t
SFG-USASC-;SFG-USASC-;a-f-g-u-s-a-s-c
SFG-USAM--;SFG-USAM--;a-f-g-u-s-a-m
SFG-USAMT-;SFG-USAMT-;a-f-g-u-s-a-m-t
SFG-USAMC-;SFG-USAMC-;a-f-g-u-s-a-m-c
SFG-USAR--;SFG-USAR--;a-f-g-u-s-a-r
SFG-USART-;SFG-USART-;a-f-g-u-s-a-r-t
SFG-USARC-;SFG-USARC-;a-f-g-u-s-a-r-c
SFG-USAP--;SFG-USAP--;a-f-g-u-s-a-p
SFG-USAPT-;SFG-USAPT-;a-f-g-u-s-a-p-t
SFG-USAPC-;SFG-USAPC-;a-f-g-u-s-a-p-c
SFG-USAPB-;SFG-USAPB-;a-f-g-u-s-a-p-b
SFG-USAPBT;SFG-USAPBT;a-f-g-u-s-a-p-b-t
SFG-USAPBC;SFG-USAPBC;a-f-g-u-s-a-p-b-c
SFG-USAPM-;SFG-USAPM-;a-f-g-u-s-a-p-m
SFG-USAPMT;SFG-USAPMT;a-f-g-u-s-a-p-m-t
SFG-USAPMC;SFG-USAPMC;a-f-g-u-s-a-p-m-c
SFG-USAX--;SFG-USAX--;a-f-g-u-s-a-x
SFG-USAXT-;SFG-USAXT-;a-f-g-u-s-a-x-t
SFG-USAXC-;SFG-USAXC-;a-f-g-u-s-a-x-c
SFG-USAL--;SFG-USAL--;a-f-g-u-s-a-l
SFG-USALT-;SFG-USALT-;a-f-g-u-s-a-l-t
SFG-USALC-;SFG-USALC-;a-f-g-u-s-a-l-c
SFG-USAW--;SFG-USAW--;a-f-g-u-s-a-w
SFG-USAWT-;SFG-USAWT-;a-f-g-u-s-a-w-t
SFG-USAWC-;SFG-USAWC-;a-f-g-u-s-a-w-c
SFG-USAQ--;SFG-USAQ--;a-f-g-u-s-a-q
SFG-USAQT-;SFG-USAQT-;a-f-g-u-s-a-q-t
SFG-USAQC-;SFG-USAQC-;a-f-g-u-s-a-q-c
SFG-USM---;SFG-USM---;a-f-g-u-s-m
SFG-USMT--;SFG-USMT--;a-f-g-u-s-m-t
SFG-USMC--;SFG-USMC--;a-f-g-u-s-m-c
SFG-USMM--;SFG-USMM--;a-f-g-u-s-m-m
SFG-USMMT-;SFG-USMMT-;a-f-g-u-s-m-m-t
SFG-USMMC-;SFG-USMMC-;a-f-g-u-s-m-m-c
SFG-USMV--;SFG-USMV--;a-f-g-u-s-m-v
SFG-USMVT-;SFG-USMVT-;a-f-g-u-s-m-v-t
SFG-USMVC-;SFG-USMVC-;a-f-g-u-s-m-v-c
SFG-USMD--;SFG-USMD--;a-f-g-u-s-m-d
SFG-USMDT-;SFG-USMDT-;a-f-g-u-s-m-d-t
SFG-USMDC-;SFG-USMDC-;a-f-g-u-s-m-d-c
SFG-USMP--;SFG-USMP--;a-f-g-u-s-m-p
SFG-USMPT-;SFG-USMPT-;a-f-g-u-s-m-p-t
SFG-USMPC-;SFG-USMPC-;a-f-g-u-s-m-p-c
SFG-USS---;SFG-USS---;a-f-g-u-s-s
SFG-USST--;SFG-USST--;a-f-g-u-s-s-t
SFG-USSC--;SFG-USSC--;a-f-g-u-s-s-c
SFG-USS1--;SFG-USS1--;a-f-g-u-s-s-1
SFG-USS1T-;SFG-USS1T-;a-f-g-u-s-s-1-t
SFG-USS1C-;SFG-USS1C-;a-f-g-u-s-s-1-c
SFG-USS2--;SFG-USS2--;a-f-g-u-s-s-2
SFG-USS2T-;SFG-USS2T-;a-f-g-u-s-s-2-t
SFG-USS2C-;SFG-USS2C-;a-f-g-u-s-s-2-c
SFG-USS3--;SFG-USS3--;a-f-g-u-s-s-3
